keyword,count
scalar variable,3
tensorflow,3
test_empty_directory,3
test_case,3
IndexEngine,3
range,3
test_empty_data,3
strings,3
FileExistsError,3
_execute_child,3
iterable,3
casted_key,3
indexer,3
SyntaxError,3
numeric,3
JSON,3
indices,3
test_file_content,3
ndarray_to_mgr,3
test_regular_function,3
enter_context,3
randint,3
COLUMNS,3
builtins.TestCases,3
float64,3
test_exception_handling,3
test_file_not_found,3
test_normal_operation,3
test_non_uniform_distribution,3
RefTemplateTypes,3
error,3
COUNT(),3
TranscriptContents,3
real number,2
connect,2
post,2
base64,2
Data,2
histogram,2
_get_bin_edges,2
__new__,2
_check_params_vs_input,2
_check_types,2
DataFrame.index,2
datetime,2
plt,2
test_attachment_filename,2
strptime,2
test_values,2
test_histogram_bins,2
_mean,2
test_reproducibility,2
ImportError,2
pd,2
seasonal_decompose,2
freq,2
test_non_numeric_values,2
test_plot_title_and_labels,2
test_return_value,2
DatetimeIndex,2
DatetimeArray,2
test_single_element_list,2
scalar,2
test_series_length,2
test_output_types,2
__setattr__,2
AxisProperty.__set__,2
_set_axis,2
set_axis,2
_validate_set_axis,2
test_empty_page,2
test_various_hex_formats,2
test_salt_and_hash_length,2
failures,2
test_csv_writing,2
ellipsis,2
numpy.newaxis,2
integer arrays,2
boolean arrays,2
empty sequence,2
xticks,2
socket.gaierror,2
test_word_frequencies,2
raw_decode,2
obj,2
idx,2
_pickle.PicklingError,2
update_units,2
get,2
<lambda>,2
UnboundLocalError,2
drop_duplicates,2
duplicated,2
fft,2
test_small_dataset,2
load,2
iterencode,2
test_invalid_content_type,2
do_POST,2
false,2
test_different_data_inputs,2
test_case_insensitivity,2
test_nan_values,2
test_plot_generation,2
PathCollection,2
collections,2
_get_value,2
Element counts,2
test_consistent_hash_with_same_input,2
Lists differ,2
test_plot_lines,2
send,2
_fit_full,2
n_components,2
n_features,2
svd_solver,2
key,2
test_nested_directories,2
API_URL,2
get_xticklabels,2
np.result_type,2
test_valid_signature,2
dim,2
test_case_13,2
copy,2
typ,2
manager,2
wrapper,2
write,2
test_empty_json,2
apply_standard,2
_check_values_indices_shape_match,2
UnicodeDecodeError,2
utf-8,2
byte,2
to_csv,2
test_empty_lists,2
test_multiple_sentences,2
test_multiple_functions,2
test_lambda_function,2
series,2
length,2
test_dataframe_shape,2
bins,2
rsa,2
URLError,2
test_encrypted_key_file_creation,2
test_file_encryption,2
test_public_key_type,2
test_invalid_url,2
test_correct_length,2
test_nonexistent_letter,2
__nonzero__,2
choice,2
test_mixed_values,2
pandas.core.frame.DataFrame,2
pandas.core.indexes.base,2
pandas.core.frame,2
mode,2
test_dataframe_columns,2
task,2
test_output_type,2
test_plot_labels,2
matplotlib,2
test_multiple_paths,2
test_large_file,2
test_correct_scraping,2
test_string_with_numbers,2
test_string_with_special_characters,2
element,2
os.PathLike,2
test_no_matching_files,2
test_negative_values,2
test_default_input,2
test_invalid_directory,2
test_target_directory_creation,2
copy2,2
copyfile,2
dst,2
tuples,2
clean_text,2
test_non_numeric_data,2
assert_equal,2
test_non_existent_column,2
read_sql_query,2
test_basic_input,2
JSON data,2
test_deduplicate_predicates,2
IOError,2
test_valid_pairs,2
test_single_column,2
replace,2
test_incorrect_data_type,2
literal_eval,2
compile,2
test_repeated_urls,2
test_multiple_valid_urls,2
MockResponse,2
sc.Song_release_year,2
s.SongName,2
c.Attendance,2
T.Template_Code,2
Ref_Template,2
t.Template_Code,2
aggregate function,2
Addresses.line1,2
Student_Enrollment,2
StudentEnrolment,2
mobile_number,2
date_registered,2
s.permanent_address,2
aggregate,2
s.series_name,2
p.People_ID,2
Year_Founded,2
RecordCompany,2
t1.student_id,2
b.breedname,2
d.abandoned,2
Net_Worth,2
test_range_limit,1
login,1
cwd,1
test_command_failure_with_specific_exit_code,1
Command,1
exit,1
Exit Code,1
Error,1
test_process_found_restarts_process,1
test_process_not_found_starts_process,1
test_process_terminates_and_restarts_multiple_instances,1
subprocess,1
CREATE_NEW_CONSOLE,1
Fernet key,1
test_output_is_string_and_valid_base64,1
test_varied_data_sets,1
test_with_mocked_scaler,1
test_empty_tag,1
test_h1_tag_found,1
test_malformed_html,1
test_multiple_matching_tags,1
test_title_tag_found,1
kdeplot,1
optim_function,1
_box_cox_optimize,1
boxcox,1
constant,1
FEATURE_NAMES,1
_validate_function,1
verify_output,1
count,1
25%,1
50%,1
75%,1
dtype=object,1
_get_outer_edges,1
assert_function_output,1
__get__,1
.dt accessor,1
datetimelike,1
n_clusters,1
Annotation,1
Count,1
Frequency,1
left,1
right,1
ABCSeries,1
test_valid_host,1
test_custom_days_range,1
test_default_days_range,1
test_sales_bounds,1
test_with_custom_fruits_and_days,1
test_error_on_non_empty_dataframe,1
days,1
test_session_key_in_cookies,1
response,1
cookies,1
expiration,1
test_malformed_data,1
test_successful_login,1
test_content_type,1
test_response_status_code,1
test_response_type,1
test_zip_file_content,1
FileResponse,1
test_app_creation,1
test_home_route,1
test_logging_info_called_with_correct_arguments,1
test_logging_request_data,1
test_template_folder_configuration,1
test_api_endpoint_configuration,1
test_api_endpoint_status_code,1
test_data_endpoint_response,1
test_external_api_call,1
test_mail_config,1
test_send_mail_functionality,1
test_send_mail_route,1
test_smtp_configuration,1
test_sorting_by_profit,1
test_new_custom_parameters,1
test_profit_margin_validation,1
test_correct_column_names,1
test_different_seeds_produce_different_data,1
test_random_reproducibility,1
test_sales_values_range,1
test_data_without_outliers,1
test_no_change_in_data_dimension,1
test_no_plotting,1
test_original_data_unchanged,1
test_plot_axes,1
test_cluster_centers,1
Centroids,1
test_mean_approximation,1
test_pdf_overlay,1
test_pdf_overlay_accuracy,1
test_samples_length,1
test_std_dev_approximation,1
_std,1
_var,1
test_samples_type,1
test_data_range,1
test_random_seed_effect,1
test_value_range,1
load_boston,1
test_heatmap_features,1
test_heatmap_values,1
test_plot_appearance,1
raw_df,1
target,1
test_incorrect_dataframe,1
test_value_consistency,1
col1,1
col2,1
pandas.tseries.tools,1
test_invalid_date_column,1
test_plot_labels_and_title,1
pandas,1
toordinal,1
test_additive_model,1
test_component_shapes,1
test_components_existence,1
test_insufficient_data,1
test_missing_values,1
_compute_plot_data,1
test_date_conversion,1
test_return_type1,1
unstack,1
new_method,1
__add__,1
_arith_method,1
arithmetic_op,1
MultiIndex,1
test_dictionary_keys,1
test_entropy_calculation,1
test_mode_calculation,1
test_multiple_modes,1
test_with_seed,1
contents,1
test_list_modification,1
test_combination_length,1
Length mismatch,1
test_starting_point,1
test_step_direction,1
assert_called_once,1
test_walk_length,1
test_non_html_content,1
test_return_type_with_complex_data,1
search,1
validate_hex_str,1
hex_str,1
test_alternative_format,1
test_valid_hex_string,1
test_correctness_of_histogram_lines,1
Histogram,1
difference,1
test_x_range,1
test_csv_writer_usage,1
DictWriter,1
writeheader,1
test_ip_range_handling,1
ping,1
IPs,1
test_open_port,1
DataFrame.columns,1
size,1
test_file_type_identification,1
test_dictionary_content,1
test_re_search_called_with_suffix,1
test_correlation_calculation,1
MaskedArray,1
test_gzip_file_opened_with_correct_path,1
test_json_compression,1
test_response_read_called,1
test_return_type_is_string,1
test_normality_test,1
test_plot_output,1
test_combined_parameters,1
test_custom_data_range,1
set_xticklabels,1
set_ticklabels,1
test_data_values,1
test_no_labels_provided,1
FixedLocator,1
RangeIndex,1
differ,1
Errno -2,1
test_case_sensitive_handling,1
match,1
_compile,1
Feature Names,1
TF-IDF Score,1
UUID,1
HttpResponse,1
status_code,1
application/json,1
test_distance_dict_structure,1
test_distances_calculation,1
test_large_distance_calculation,1
test_marker_addition,1
test_multiple_locations,1
test_negative_lat_lon,1
test_single_location,1
latitude,1
longitude,1
POINT,1
test_different_locations,1
geocode,1
test_empty_animal_list,1
test_zero_customers,1
test_large_number_of_customers,1
test_no_customer,1
test_random_animal_selection,1
test_sales_content,1
test_typical_case,1
builtins.TestCases.test_return_types,1
test_empty_case,1
StatisticsError,1
data point,1
SMTP_SERVER,1
execute_command,1
test_handling_empty_string_command,1
test_handling_specific_number_of_commands,1
test_return_type_with_mocked_commands,1
byte strings,1
unhashable type,1
bar,1
_process_unit_info,1
default_units,1
set_units,1
test_download_and_extract,1
test_image_size_and_type,1
test_random_seed_reproducibility,1
Images,1
test_valid_request,1
test_valid_request_with_no_params,1
Normal Distribution,1
_plot_args,1
get_converter,1
_safe_first_finite,1
dct,1
df,1
test_docstring_examples,1
test_empty_list_input,1
test_spl_calculation,1
test_successful_matrix_creation,1
test_case_empty,1
test_case_regular,1
test_case_tie_categories,1
test_case_unique_customers,1
test_case_with_duplicates,1
test_correct_data_handling,1
test_linear_regression,1
test_plotting_elements,1
std_dev,1
normalize,1
__ua_function__,1
_execute_1D,1
pocketfft_func,1
c2c,1
_asfarray,1
np.asarray,1
np.float64,1
test_custom_range,1
test_single_value_range,1
_default_decoder.decode,1
s,1
test_label_position,1
test_case_non_ax,1
test_cosine_function,1
test_invalid_index,1
test_rlabel_position,1
test_sine_function,1
test_tangent_function,1
PolarAxes,1
set_rlabel方位,1
KEY,1
test_circle_radius,1
test_negative_radius,1
test_polar_plot,1
test_zero_radius,1
polar plot,1
ax,1
test_case_sensitivity,1
test_invalid_json,1
test_missing_data_key,1
test_valid_json_data,1
Content-Length,1
test_email_sending_exception,1
test_empty_json_data,1
test_invalid_json_format,1
test_missing_key_in_json_data,1
test_valid_json_request,1
Float,1
real,1
test_form_submission,1
test_no_title_page,1
test_histogram_data_integrity,1
test_multiple_groups_dataframe,1
test_scaled_values_range,1
test_single_group_dataframe,1
_python_apply_general,1
apply_groupwise,1
test_normal_case,1
test_plot_point,1
test_varying_length_list_2,1
test_varying_length_lists,1
test_single_row_data,1
test_typical_data,1
test_plot_data_correlation,1
test_known_input_output,1
test_plot_explained_variance_ratio,1
test_single_row_dataframe,1
numpy.asarray,1
test_logging,1
test_remove_jquery_files,1
test_remove_jquery_files_error,1
test_remove_jquery_files_not_js,1
test_remove_jquery_files_subdirectory,1
test_additional_fields,1
test_non_negative_grades,1
pandas DataFrame,1
lists,1
grades,1
array element,1
inhomogeneous shape,1
dimensions,1
SSLError,1
test_different_paths,1
test_response_content,1
test_ssl_handshake_error_handling,1
test_generic_exception_handling,1
test_axes_labels,1
test_radius_accuracy,1
set_xlabel,1
set_title,1
test_non_zero_exit_code,1
test_random_file_selection,1
test_backup_of_large_file,1
test_successful_execution,1
test_multiple_processes_with_different_exit_codes,1
test_process_still_running,1
test_valid_directory_and_files,1
test_valid_files,1
test_multiple_bat_files_mixed_results,1
test_single_bat_file_failure,1
test_single_bat_file_success,1
test_insert_at_end,1
test_insert_at_beginning,1
test_insert_in_middle,1
test_insert_into_existing_list,1
sample1.txt,1
sample2.md,1
sample3.csv,1
sample4.txt,1
sample5.md,1
test_complex_data_structure,1
test_different_data_different_signatures,1
test_known_data_signature,1
test_blake3_length,1
test_different_data_different_hashes,1
test_empty_data_hashes,1
test_known_data_hash_correctness,1
test_md5_length,1
test_categorical_data,1
categorical data,1
count plot,1
strip plot,1
PermissionError,1
signal,1
CTRL_BREAK_EVENT,1
tolist,1
test_array_length,1
test_different_frequencies,1
test_negative_frequency,1
test_plot_x_label,1
test_plot_y_label,1
test_wave_properties,1
test_zero_amplitude,1
Python scalars,1
numpy array,1
test_empty_arrays,1
test_single_point,1
test_phase_calculation,1
contourf,1
_process_args,1
_contour_args,1
_check_xyz,1
test_correct_mean_and_std_values,1
calculate_factorial,1
test_large_numbers,1
test_single_element,1
test_very_large_number,1
map,1
_handle_tasks,1
put,1
mu,1
sigma,1
U,1
S,1
test_caae_1,1
test_caae_3,1
test_caae_4,1
test_caae_5,1
assertCountEqual,1
assertIn,1
test_inline_points,1
test_missing_ip_key,1
ZeroDivisionError,1
test_with_target_string,1
Mail.__init__,1
test_blur_effectiveness,1
test_different_blur_radius,1
test_returned_image_shapes,1
hstack,1
concatenate,1
dimension,1
casting,1
_inner,1
test_non_string_unicode_values,1
Traceback,1
Functional,1
select_dtypes,1
test_upload_success,1
test_urls,1
test_single_cluster_returns_original_image,1
test_histogram_labels,1
drop,1
_drop_axis,1
test_all_max_value_image_histogram,1
test_all_zero_image_histogram,1
test_histogram_output,1
test_histogram_values,1
test_empty_message,1
test_invalid_base64,1
test_long_message,1
test_non_ascii_characters,1
_test_most_columns,1
savefig,1
print_figure,1
_switch_canvas_and_return_print_method,1
fig,1
canvas,1
cbook,1
P,1
T,1
test_empty_extension,1
test_move_specified_extension_files,1
_internal_update,1
_update_props,1
Rectangle,1
UnsupportedType,1
serializable,1
test_unsupported_type_fallback,1
_test_helper,1
your_date_column_name,1
_test_dataframe,1
Text,1
NumPy,1
date_range,1
_generate_range,1
to_offset,1
_check_sales_data,1
ParserError,1
convert_epoch_to_date,1
Generator,1
timezone_from_currency,1
event_name,1
get_ticklabels,1
get_majorticklabels,1
_update_ticks,1
format_ticks,1
attribute,1
strftime,1
OptionError,1
_get_option,1
_get_single_key,1
to_excel,1
ExcelWriter,1
test_custom_sheet_name,1
test_valid_json,1
xls,1
datetime.date,1
datetime64[ns],1
test_case_14,1
test_difference_report,1
apply_series_generator,1
sublist,1
<genexpr>,1
append,1
fit_predict,1
b64encode,1
test_base_conversion_and_hashing,1
test_different_salts_different_hashes,1
altchars,1
test_base_conversion_and_signing,1
test_different_numbers_produce_different_output,1
test_output_is_base64_encoded,1
test_task_func_return_type,1
name,1
age,1
lifespan,1
random,1
test_consistent_output_with_same_seed,1
test_custom_keys_list,1
hexadecimal string,1
test_base64_encoding,1
test_non_empty_output,1
test_output_variability,1
test_string_representation,1
utf_8_encode,1
test_consistency_of_output,1
test_custom_hex_keys,1
test_default_functionality,1
test_encode_basic_dataframe,1
test_encode_empty_dataframe,1
test_encode_with_different_columns,1
test_encode_with_specific_values,1
test_encode_with_string_values,1
test_duplicate_items_across_sublists,1
test_single_level_list,1
test_uniform_list,1
test_all_predefined_items,1
test_duplicate_items,1
test_non_predefined_items_only,1
test_one_empty_list,1
test_standard_functionality,1
test_both_lists_empty,1
test_empty_a_list,1
ax_pos,1
test_is_palindrome,1
test_sentence_length_within_range,1
test_symmetry_of_sentence,1
test_word_choice_from_pool,1
split,1
linregress,1
test_single_string,1
StandardScaler,1
test_full_year_data,1
test_partial_year_data,1
test_system_info_printing,1
test_file_movement_with_mock_cdll,1
CDLL,1
test_invalid_file_path,1
test_metadata_printing,1
test_nonexistent_file,1
test_dll_name_returned,1
test_md5_hash_printed,1
test_sha256_hash_printed,1
__file__,1
function_name,1
test_function_with_defaults,1
test_no_arguments_function,1
test_plot_called,1
test_single_function,1
lambda functions,1
test_function_with_multiple_defaults,1
test_function_with_no_lambda_defaults,1
test_lambda_in_defaults,1
test_function_annotations,1
test_function_name,1
test_function_with_no_defaults,1
_iterencode,1
_iterencode_dict,1
_iterencode_list,1
_default,1
Parameter,1
odict_items,1
median_absolute_deviation,1
scipy.stats,1
setitem,1
__setitem__,1
_setitem_with_indexer,1
_setitem_single_block,1
test_shuffle_and_roll_operation,1
test_varying_data_types,1
test_with_predefined_elements,1
test_with_repeated_elements,1
test_columns_existence,1
test_moving_average_calculation,1
test_non_empty_dataframe,1
test_random_numbers_range,1
test_histogram_pdf_overlay,1
PDF,1
test_encryption_decryption,1
test_file_creation,1
test_key_size,1
test_unique_file_per_call,1
pem_encode,1
test_hashing_of_content,1
test_network_error_handling_1,1
test_verification_error_handling,1
buffer API,1
test_file_encryption_contents,1
read,1
getinfo,1
test_encrypted_file_size,1
test_aes_key_file_content,1
test_encrypted_file_content,1
OAEP,1
test_network_error,1
do_open,1
request,1
_send_request,1
endheaders,1
_send_output,1
_create_connection,1
create_connection,1
getaddrinfo,1
urlopen,1
_open,1
_call_chain,1
https_open,1
HTTPConnection,1
test_file_path_return,1
test_dataframe_content,1
test_empty_dataframe_on_zero_hours,1
test_task_func_runs_without_error,1
getter,1
resolve_name,1
test_backup_file_creation,1
test_task_func_checks_backup_directory_exists,1
test_task_func_copies_to_backup_directory,1
test_task_func_writes_correct_header,1
test_insertion_position,1
test_sorted_order,1
test_sum_of_numbers,1
retry_generation,1
generate_numbers,1
array.array,1
sort,1
test_random_values_consistency,1
test_filter_letter_a,1
test_filter_returns_series,1
test_series_sorted_by_value_counts,1
from_dict,1
test_filter_by_letter,1
test_histogram_plot_calls,1
test_word_length_calculation,1
test_no_word_column,1
save,1
get_handle,1
check_parent_directory,1
DataFrameRenderer,1
test_compilation_failure,1
test_compiler_not_found,1
test_logging_output,1
test_successful_compilation,1
test_extreme_values_shape,1
test_uniform_data,1
test_more_plots_than_data,1
test_plot_details,1
test_zero_plots,1
test_all_teams_penalty,1
test_empty_goals_and_penalties,1
test_goals_greater_than_penalties,1
test_no_penalties,1
test_penalties_greater_than_goals,1
test_some_teams_missing,1
test_clipping_negative_scores,1
test_clipping_positive_scores,1
test_goals_no_penalties,1
test_goals_with_penalties,1
test_no_goals_no_penalties,1
test_data_integrity,1
test_invalid_keys,1
test_plot_type,1
test_visualization_output,1
test_extremely_high_values,1
test_goals_and_penalties_within_range,1
test_negative_input_handling,1
test_zero_goals_and_penalties,1
pandas.core.indexes.range.RangeIndex,1
test_negative_input,1
randrange,1
test_no_teams,1
test_positive_goals_penalties,1
test_randomness_control,1
test_zero_goals_penalties,1
N_COMPONENTS,1
tt,1
fraction,1
gmtoff_fraction,1
Product,1
test_all_nan_dataframe,1
test_basic_dataframe,1
test_integer_conversion,1
NaN,1
axis_nan_policy_wrapper,1
hypotest_fun_out,1
ModeResult,1
np.unique,1
test_duplicate_words,1
test_ngram_range,1
test_simple_text,1
test_text_with_stopwords,1
fixed_vocabulary_,1
numpy.random.mtrand.RandomState.randint,1
numpy.random._bounded_integers._rand_int64,1
negative dimensions,1
test_dataframe_index,1
inferred_type,1
test_empty_array,1
test_single_match,1
target value,1
N/A,1
_UFuncNoLoopError,1
test_functionality,1
test_not_enough_points,1
test_target_value_found,1
test_target_value_not_found,1
_wrapreduction,1
ufunc.reduce,1
maximum,1
dtype('<U3'),1
test_all_stopwords,1
test_empty_texts,1
train,1
_check_training_sanity,1
test_no_data,1
figure,1
curve_fit,1
leastsq,1
_minpack._lmdif,1
_minpack.error,1
floats,1
test_monthly_ticks,1
test_positive_sales,1
test_std_dev_shading,1
os,1
makedirs,1
len,1
Extra data,1
allclose,1
isclose,1
isfinite,1
ufunc,1
test_switch_to_default_python_version,1
test_switch_to_python_2_7,1
test_switch_to_python_3_6,1
test_switch_to_python_3_7,1
test_switch_to_python_3_9,1
test_default_json,1
test_json_update_1,1
test_json_update_2,1
NoSectionError,1
test_append_path_and_update_config,1
test_config_file_creation,1
test_default_path_and_config,1
test_invalid_config_file,1
_validate_value_types,1
section,1
option,1
test_data_appending,1
test_file_existence,1
test_headers_only_once,1
test_mixed_case_errors,1
test_sample1,1
test_sample2,1
test_sample3,1
test_empty_table,1
test_overwrite_existing_csv,1
xml_re,1
DIRECTORY_PATH,1
test_csv_with_only_headers,1
test_different_encoding,1
test_invalid_csv_format,1
test_file_cleanup,1
pickle file,1
pop,1
test_median_deep_nesting,1
test_median_empty_list,1
test_few_letters,1
test_general,1
test_full_path_execution,1
test_script_execution,1
test_script_execution_failure_handling,1
test_standard_usage,1
operator.__eq__,1
Age,1
24,1
test_basic,1
test_multiple_none,1
validate_data,1
isfile,1
test_files_with_content,1
test_files_with_no_content,1
test_mixed_case,1
test_case_sensitive_and_realistic_text,1
test_exact_word_matching,1
test_files_with_errors,1
test_file_creation_and_content,1
test_mixed_file_types,1
[],1
RandomState.normal,1
numpy.random._common.cont,1
feature,1
Standard,1
test_wrong_keys,1
test_large_files_backup,1
test_backup_and_clean,1
test_cleanup_failure,1
test_no_files_to_move,1
test_article_timezone_conversion,1
test_conversion_and_grouping,1
test_different_timezones_across_categories,1
test_file_properties,1
test_permission_error,1
test_archiving_in_nonexistent_directory,1
test_multiple_archiving_unique_naming,1
retcode,1
process.args,1
test_non_empty_arrays,1
test_single_element_arrays,1
test_distribution_of_values,1
test_output_values,1
scaled value,1
test_custom_list_input,1
test_three_elements_list,1
deque,1
test_directory_does_not_exist,1
test_erroneous_backup_content,1
test_no_backups_in_backup_directory,1
test_successful_rollback,1
test_all_identical_rows,1
test_large_number_of_rows,1
test_no_common_rows,1
test_non_uniform_row_lengths,1
test_single_column_input,1
test_single_row_input,1
CSV_FILE_PATH,1
test_dimension_one,1
test_large_dimension,1
test_positive_dimension,1
test_zero_dimension,1
numpy.int64,1
test_mixed_columns,1
test_multiple_rows,1
test_non_numeric_and_empty,1
test_single_row,1
test_non_dictionary_metrics,1
test_non_string_filename,1
test_empty_metrics,1
test_non_existent_log_directory,1
join,1
assertGreater,1
assertLess,1
test_executing_files,1
test_finding_executable_files,1
test_special_characters_in_pattern,1
DIRECTORY,1
test_edge_case_4,1
rmtree,1
os.lstat,1
files,1
test_card_format,1
test_poker_hand_length,1
test_rank_counts_keys,1
test_rank_counts_type,1
test_rank_counts_values,1
test_string_with_whitespaces,1
test_positive_scenario,1
test_zero_length,1
test_zero_words,1
num_words,1
word_length,1
test_negative_num_digits,1
builtins.TestCases.test_negative_num_digits,1
negative,1
num_digits,1
10,1
test_copy_and_erase,1
test_non_existent_dest_dir,1
fdst,1
wb,1
iterator,1
dictcomp,1
test_dict_with_various_types,1
test_empty_dict,1
test_large_dict,1
test_nested_dict,1
test_simple_dict,1
test_serialization_readback,1
test_serialization_success,1
test_file_with_target,1
test_file_with_target_not_first,1
test_file_without_target,1
test_custom_columns,1
id,1
test_sentence_length,1
test_single_sentence,1
test_case_different_strings,1
test_case_empty_strings,1
test_case_identical_strings,1
test_case_numerical_strings,1
test_case_similar_strings,1
ALPHANUMERIC,1
test_invalid_path,1
test_summary_content,1
test_valid_pattern_matching,1
test_custom_colors,1
test_cyclicity,1
test_randomness_with_different_seeds,1
test_small_number_of_colors,1
test_default,1
itertools.cycle,1
UFuncNoLoopError,1
test_custom_data,1
test_default_data,1
test_incomplete_data,1
umr_sum,1
asanyarray,1
dtype('<U1'),1
test_function_with_incomplete_tuples,1
test_all_non_numeric,1
test_regular_input,1
test_uneven_tuples,1
func_assert_same_pos,1
isnan,1
test_random_fill,1
test_seed_reproducibility,1
num_range,1
test_non_string_dictionary,1
test_pre_existing_files_in_backup,1
test_edge_case_large_categories_small_counts,1
Columns,1
categorical,1
int32,1
test_sample_size_larger_than_matches,1
test_zero_sample_size,1
sqlite3.OperationalError,1
execute,1
read_query,1
pandas.errors.DatabaseError,1
test_different_pattern,1
test_regular_expression_match,1
a.empty,1
a.bool(),1
a.item(),1
a.any(),1
a.all(),1
test_all_same_age,1
test_case_invalid_format,1
datetime.time,1
NUMBERS,1
test_custom_length,1
test_default_length,1
test_first_step_zero,1
test_all_keys_missing,1
test_single_predictor,1
test_empty_data_list,1
test_single_key_data,1
test_missing_keys_in_data,1
file2_processed.txt,1
test_complex_pattern_renaming,1
CSV,1
filenames,1
test_invalid_input_length,1
test_multiple_repetitions,1
test_single_letter,1
test_no_repetitions,1
test_single_mode,1
test_mixed_types,1
test_multiple_modes_repeated,1
<U1,1
<U2,1
pandas.core.indexes.base.py,1
pandas.core.frame.py,1
Z_score,1
pandas.core.indexes.base.Index,1
pandas._libs.hashtable.PyObjectHashTable,1
test_acronyms_multiple_columns,1
test_acronyms_single_column,1
test_no_acronyms,1
test_non_string_types,1
corr,1
unhashable,1
8,1
xk,1
pk,1
test_word_with_uppercase_should_fail,1
test_clean_text_and_calculate_length,1
test_empty_and_none,1
_map_values,1
map_array,1
map_infer,1
sub,1
bytes-like,1
test_mixed_characters,1
test_special_characters_removal,1
START_DATE,1
test_additive_decomposition_properties,1
test_insufficient_periods_error,1
test_multiplicative_model,1
test_weekly_frequency,1
LinearRegression,1
predict,1
_decision_function,1
csr,1
csc,1
coo,1
RandomState.randint,1
_rand_int64,1
test_files_moved,1
TestCases,1
test_cumsum_correctness,1
test_no_numeric_columns,1
test_non_numeric_columns_ignored,1
test_with_empty_dataframe,1
test_with_mixed_numbers,1
test_with_negative_numbers,1
test_with_positive_numbers,1
test_with_zeroes,1
empty,1
test_incremental_values,1
test_negative_numbers,1
test_same_numbers,1
check_cumsum_and_scaling,1
test_zeros_array,1
sorted_indices,1
test_increasing_array,1
helper_assert_cumulative_probability_correctness,1
test_deep_nested_path,1
test_nonexist_path,1
test_path_with_trailing_delimiter,1
test_single_directory,1
test_varied_path,1
test_with_5x1_array,1
test_with_empty_array,1
test_single_column_dataframe,1
_ensure_2d,1
